chromophore_smiles,solvent_original,canonical_chromophore_smiles,canonical_solvent_smiles,absorption_nm,emission_nm,lifetime_ns,quantum_yield,log_extinction,source_dataset,fluodb_source,fluodb_tag,fluodb_tag_name,fluodb_solvent_num,fluodb_split,reference_doi,stokes_shift_nm
O=C(C1=CC2=NC(C(C=C3)=CC=C3N4C=CN=C4)=C(NC5CCCCC5)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(-n4ccnc4)cc3)nc2c1,,387.0,529.0,,0.83,,chemfluor,,,,,,,142.0
CN1C(C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2)=CC=C1,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3cccn3C)nc2c1,,392.0,530.0,,0.64,,chemfluor,,,,,,,138.0
OC1=CC(OC)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(OC)cc3O)nc2c1,,391.0,531.0,,0.1,,chemfluor,,,,,,,140.0
ClC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(Cl)o3)nc2c1,,392.0,532.0,,0.67,,chemfluor,,,,,,,140.0
O=C(C1=CC2=NC(C3=CNC=N3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3c[nH]cn3)nc2c1,,400.0,532.0,,0.63,,chemfluor,,,,,,,132.0
O=C(C1=CC2=NC(C(O3)=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(S(=O)(=O)O)o3)nc2c1,,393.0,533.0,,0.31,,chemfluor,,,,,,,140.0
OC1=CC(O)=CC=C1C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(O)cc3O)nc2c1,,394.0,534.0,,0.1,,chemfluor,,,,,,,140.0
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)nc2c1,,398.0,535.0,,0.71,,chemfluor,,,,,,,137.0
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=[N+]2C,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccc(C)o3)[n+](C)c2c1,,399.0,568.0,,0.42,,chemfluor,,,,,,,169.0
CC1=CC=C(O1)C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,Cc1ccc(-c2nc3cnccn3c2NC2CCCCC2)o1,,368.0,500.0,,0.46,,chemfluor,,,,,,,132.0
O=C(C1=CC2=NC(C3=CC=CC=C3S(=O)(O)=O)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(-c3ccccc3S(=O)(=O)O)nc2c1,,382.0,539.0,,0.62,,chemfluor,,,,,,,157.0
C/C(C1=C(NC2CCCCC2)N(C=CC(C(OC)=O)=C3)C3=N1)=C\C4=CC=CC=C4,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(/C(C)=C/c3ccccc3)nc2c1,,392.0,542.0,,0.51,,chemfluor,,,,,,,150.0
O=C(C1=CC2=NC(/C=C/C3=CC=CO3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccco3)nc2c1,,413.0,558.0,,0.37,,chemfluor,,,,,,,145.0
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NC4CCCCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,,414.0,559.0,,0.42,,chemfluor,,,,,,,145.0
COC(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,COc1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,,365.0,514.0,,0.23,,chemfluor,,,,,,,149.0
CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CC(C(OC)=O)=C4)C4=N2,DMSO,COC(=O)c1ccn2c(NC3CCCCC3)c(/C=C/c3ccc(N(C)C)cc3)nc2c1,,434.0,573.0,,0.35,,chemfluor,,,,,,,139.0
CN(C)C(C=C1)=CC=C1/C=C/C2=C(NC3CCCCC3)N(C=CN=C4)C4=N2,DMSO,CN(C)c1ccc(/C=C/c2nc3cnccn3c2NC2CCCCC2)cc1,,407.0,520.0,,0.24,,chemfluor,,,,,,,113.0
FC1=CC=C(C=C1)NC2=C(/C=C/C3=CC=C(OC)C=C3)N=C4C=C(C(OC)=O)C=CN42,DMSO,COC(=O)c1ccn2c(Nc3ccc(F)cc3)c(/C=C/c3ccc(OC)cc3)nc2c1,,400.0,528.0,,0.27,,chemfluor,,,,,,,128.0
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCCN4CCOCC4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NCCN3CCOCC3)c(/C=C/c3ccc(OC)cc3)nc2c1,,384.0,542.0,,0.52,,chemfluor,,,,,,,158.0
CC(C)(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,COC(=O)c1ccn2c(NC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,,416.0,554.0,,0.48,,chemfluor,,,,,,,138.0
O=C(OC(C)(C)C)CNC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,COC(=O)c1ccn2c(NCC(=O)OC(C)(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,,410.0,555.0,,0.37,,chemfluor,,,,,,,145.0
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC(OC)=O)N2C=C1)OC,DMSO,COC(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,,411.0,556.0,,0.39,,chemfluor,,,,,,,145.0
O=C(C1=CC2=NC(/C=C/C3=CC=C(OC)C=C3)=C(NCC4=CC=CC=C4)N2C=C1)OC,DMSO,COC(=O)c1ccn2c(NCc3ccccc3)c(/C=C/c3ccc(OC)cc3)nc2c1,,419.0,556.0,,0.52,,chemfluor,,,,,,,137.0
CC(C)NC1=C(/C=C/C2=CC=C(OC)C=C2)N=C3C=C(C(OC)=O)C=CN31,DMSO,COC(=O)c1ccn2c(NC(C)C)c(/C=C/c3ccc(OC)cc3)nc2c1,,413.0,558.0,,0.49,,chemfluor,,,,,,,145.0
CC1=CC=C(C2=C(N3C=CC(C(OC)=O)=CC3=N2)NCC(N(CCC)CCC)=O)O1,DMSO,CCCN(CCC)C(=O)CNc1c(-c2ccc(C)o2)nc2cc(C(=O)OC)ccn12,,391.0,532.0,,0.62,,chemfluor,,,,,,,141.0
O=C(CNC(N1C=C2)=C(/C=C/C3=CC=C(C=C3)OC)N=C1C=C2C(OC)=O)N(CCC)CCC,DMSO,CCCN(CCC)C(=O)CNc1c(/C=C/c2ccc(OC)cc2)nc2cc(C(=O)OC)ccn12,,413.0,558.0,,0.49,,chemfluor,,,,,,,145.0
COC(C1=CC2=NC(C3=CC=C(Cl)C=C3)=C(N2C=C1)NCC(N(CCC)CCC)=O)=O,DMSO,CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C(=O)OC)ccn12,,385.0,524.0,,0.68,,chemfluor,,,,,,,139.0
O=C(CNC(N1C=C2)=C(C3=C(O)C=C(C)C=C3)N=C1C=C2C(OC)=O)N(CCC)CCC,DMSO,CCCN(CCC)C(=O)CNc1c(-c2ccc(C)cc2O)nc2cc(C(=O)OC)ccn12,,390.0,530.0,,0.11,,chemfluor,,,,,,,140.0
ClC(C=C1)=CC=C1C2=C(NCC(N(CCC)CCC)=O)N(C=CC(C#N)=C3)C3=N2,DMSO,CCCN(CCC)C(=O)CNc1c(-c2ccc(Cl)cc2)nc2cc(C#N)ccn12,,387.0,520.0,,0.89,,chemfluor,,,,,,,133.0
NC1=C(C2=CC=C(Cl)C=C2)N=C3C=C(C#N)C=CN31,DMSO,N#Cc1ccn2c(N)c(-c3ccc(Cl)cc3)nc2c1,,430.0,513.0,,0.55,,chemfluor,,,,,,,83.0
NC1=CC(C(OC)=O)=CC=N1,DMSO,COC(=O)c1ccnc(N)c1,,342.0,424.0,,0.28,,chemfluor,,,,,,,82.0
NC1=CC=CC(C(OC)=O)=N1,DMSO,COC(=O)c1cccc(N)n1,,326.0,411.0,,0.27,,chemfluor,,,,,,,85.0
NC1=NC=CC=N1,DMSO,Nc1ncccn1,,296.0,350.0,,0.005,,chemfluor,,,,,,,54.0
NC1=NC=CN=C1,DMSO,Nc1cnccn1,,321.0,383.0,,0.4,,chemfluor,,,,,,,62.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)c(OC)c1)C=CC=2,DMSO,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(OC)c1OC,,562.0,585.0,,,,chemfluor,,,,,,,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OCc3ccccc3)cc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,567.0,595.0,,,,chemfluor,,,,,,,28.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)-c1ccccc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(-c3ccccc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,564.0,582.0,,,,chemfluor,,,,,,,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cc4c1cccc4)cccc3)C=CC=2,DMSO,Cc1cc(/C=C/c2c3ccccc3cc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,536.0,545.0,,,,chemfluor,,,,,,,9.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCc3ccccc3)c(OC)cc1)C=CC=2,DMSO,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OCc1ccccc1,,567.0,597.0,,,,chemfluor,,,,,,,30.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(-n3ccnc3)cc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(-n3ccnc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,561.0,578.0,,,,chemfluor,,,,,,,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1)C)C=CC=2,DMSO,Cc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,,555.0,570.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(F)ccc1F)C=CC=2,DMSO,Cc1cc(/C=C/c2cc(F)ccc2F)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,559.0,569.0,,,,chemfluor,,,,,,,10.0
Brc1cc(ccc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,Cc1cc(/C=C/c2cccc(Br)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,554.0,568.0,,,,chemfluor,,,,,,,14.0
Clc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,Cc1cc(/C=C/c2ccc(Cl)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,556.0,570.0,,,,chemfluor,,,,,,,14.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(O)c(O)c1)C=CC=2,DMSO,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(O)c1O,,557.0,572.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C#N)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(C#N)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,561.0,576.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(C)c(Oc3ccccc3)c(c1)C)C=CC=2,DMSO,Cc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(C)c1Oc1ccccc1,,559.0,578.0,,,,chemfluor,,,,,,,19.0
S(C)c1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,CSc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,565.0,589.0,,,,chemfluor,,,,,,,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(C)C)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(C(C)C)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,557.0,573.0,,,,chemfluor,,,,,,,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccccc3)ccc1)C=CC=2,DMSO,Cc1cc(/C=C/c2cccc(Oc3ccccc3)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,555.0,570.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1occc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccco2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,567.0,585.0,,,,chemfluor,,,,,,,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1)cccc3)C=CC=2,DMSO,Cc1cc(/C=C/c2cccc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,564.0,587.0,,,,chemfluor,,,,,,,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1ccccc1OC)C=CC=2,DMSO,COc1ccccc1/C=C/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,,560.0,579.0,,,,chemfluor,,,,,,,19.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,554.0,568.0,,,,chemfluor,,,,,,,14.0
Clc1cc(cc(OC)c1O)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc(Cl)c1O,,567.0,585.0,,,,chemfluor,,,,,,,18.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1sccc1,DMSO,Cc1cc(/C=C/c2ccc(-c3cccs3)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,596.0,649.0,,,,chemfluor,,,,,,,53.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(OC)cc1)C=CC=2,DMSO,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,,575.0,639.0,,,,chemfluor,,,,,,,64.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C)C=CC=2,DMSO,Cc1ccc(O)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c1,,564.0,585.0,,,,chemfluor,,,,,,,21.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1C)cccc3)C=CC=2,DMSO,Cc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,,546.0,585.0,,,,chemfluor,,,,,,,39.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1nc3c(cc1)cccc3)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc3ccccc3n2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,563.0,577.0,,,,chemfluor,,,,,,,14.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(cccc3)c(cc1)C)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc(C)c3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,567.0,596.0,,,,chemfluor,,,,,,,29.0
s1cc(c2c1cccc2)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,Cc1cc(/C=C/c2csc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,565.0,586.0,,,,chemfluor,,,,,,,21.0
Clc1c(O)c(OC)ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c(Cl)c1O,,566.0,589.0,,,,chemfluor,,,,,,,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccccc1-c1ccccc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccccc2-c2ccccc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,556.0,573.0,,,,chemfluor,,,,,,,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OC(=O)C)cc1)C=CC=2,DMSO,CC(=O)Oc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,566.0,595.0,,,,chemfluor,,,,,,,29.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(Oc3ccc(OC)cc3)ccc1)C=CC=2,DMSO,COc1ccc(Oc2cccc(/C=C/c3cc(C)c4n3[B-](F)(F)[N+]3=CC=CC3=C4)c2)cc1,,555.0,570.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(ccc1O)C(C)(C)C)C=CC=2,DMSO,Cc1cc(/C=C/c2cc(C(C)(C)C)ccc2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,564.0,587.0,,,,chemfluor,,,,,,,23.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\C=C\c1cc(OC)c(OC(=O)C)cc1)C=CC=2,DMSO,COc1cc(/C=C/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)ccc1OC(C)=O,,576.0,593.0,,,,chemfluor,,,,,,,17.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCCCC)cc1)C=CC=2,DMSO,CCCCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,565.0,587.0,,,,chemfluor,,,,,,,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCCCC)cc1)C=CC=2,DMSO,CCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,565.0,589.0,,,,chemfluor,,,,,,,24.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(OCC=C)cc1)C=CC=2,DMSO,C=CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,564.0,586.0,,,,chemfluor,,,,,,,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1ccc(cc1)C(OCC)OCC)C=CC=2,DMSO,CCOC(OCC)c1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1,,563.0,581.0,,,,chemfluor,,,,,,,18.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ncc1)cccc3)C=CC=2,DMSO,Cc1cc(/C=C/c2ccnc3ccccc23)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,560.0,583.0,,,,chemfluor,,,,,,,23.0
Brc1ccc(cc1)COc1ccc(cc1)\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C,DMSO,Cc1cc(/C=C/c2ccc(OCc3ccc(Br)cc3)cc2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,563.0,585.0,,,,chemfluor,,,,,,,22.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OCC)c(OCC)cc1)C=CC=2,DMSO,CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OCC,,568.0,600.0,,,,chemfluor,,,,,,,32.0
Brc1cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c(OC)cc1,DMSO,COc1ccc(Br)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,,561.0,578.0,,,,chemfluor,,,,,,,17.0
Clc1cc(Cl)cc(\C=C\c2n3c(C=C4[N+](=CC=C4)[B-]3(F)F)c(c2)C)c1O,DMSO,Cc1cc(/C=C/c2cc(Cl)cc(Cl)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,560.0,575.0,,,,chemfluor,,,,,,,15.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(cc(C=O)c1O)C(C)(C)C)C=CC=2,DMSO,Cc1cc(/C=C/c2cc(C(C)(C)C)cc(C=O)c2O)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,560.0,576.0,,,,chemfluor,,,,,,,16.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1c3c(ccc1OC)cccc3)C=CC=2,DMSO,COc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2,,575.0,614.0,,,,chemfluor,,,,,,,39.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OC)cc1)C=CC=2,DMSO,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OC,,567.0,597.0,,,,chemfluor,,,,,,,30.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(OC)c(OCC)cc1)C=CC=2,DMSO,CCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)cc1OC,,568.0,599.0,,,,chemfluor,,,,,,,31.0
F[B-]1(F)[N+]=2C(=Cc3n1c(cc3C)\C=C\c1cc(O)c([N+](=O)[O-])cc1)C=CC=2,DMSO,Cc1cc(/C=C/c2ccc([N+](=O)[O-])c(O)c2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,562.0,580.0,,,,chemfluor,,,,,,,18.0
s1c(ccc1\C=C\c1n2c(C=C3[N+](=CC=C3)[B-]2(F)F)c(c1)C)-c1ccccc1,DMSO,Cc1cc(/C=C/c2ccc(-c3ccccc3)s2)n2c1C=C1C=CC=[N+]1[B-]2(F)F,,589.0,625.0,,,,chemfluor,,,,,,,36.0
