canonical_chromophore_smiles,canonical_solvent_smiles,row_count,unique_measurements,source_combination,min_emission_nm,max_emission_nm
C#Cc1ccc(-c2c3nc(c(-c4ccc(C#C)cc4)c4ccc([nH]4)c(-c4cc(C(C)(C)C)cc(C(C)(C)C)c4)c4cc(c(-c5cc(C(C)(C)C)cc(C(C)(C)C)c5)c5ccc2[nH]5)C=N4)C=C3)cc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",744.0,744.0
C#Cc1ccc(C#Cc2cnc(C#Cc3ccccc3)nc2)cc1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",415.0,415.0
C#Cc1ccc2cc(N(C)C)ccc2c1,,3,3,chemfluor,403.0,437.0
C#Cn1c(-c2cc(-c3nc4ccc(C)cc4n3C#C)cc(-c3nc4ccc(C)cc4n3C#C)c2)nc2ccc(C)cc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",389.5,390.0
C#Cn1c(-c2cc(-c3nc4ccc(C)cc4n3C#C)cc(-c3nc4ccc(C)cc4n3C#C)c2)nc2ccc(C)cc21,ClCCl,2,2,"FluoDB-Lite,deep4chem",,
C#Cn1c(-c2cc(-c3nc4ccccc4n3C#C)cc(-c3nc4ccccc4n3C#C)c2)nc2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",386.5,387.0
C#Cn1c(-c2cc(-c3nc4ccccc4n3C#C)cc(-c3nc4ccccc4n3C#C)c2)nc2ccccc21,ClCCl,2,2,"FluoDB-Lite,deep4chem",,
C(#Cc1c2ccccc2c(-c2ccccc2)c2cc3ccccc3cc12)c1ccccc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",541.0,541.0
C(#Cc1ccc(C#Cc2ccccc2)cc1)c1ccccc1,ClC(Cl)Cl,2,2,"FluoDB-Lite,deep4chem",348.0,348.0
C(#Cc1ccc([P+](CCC[P+](c2ccccc2)(c2ccccc2)c2ccc(N(c3ccccc3)c3ccccc3)cc2)(c2ccccc2)c2ccccc2)c2ccccc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,,3,3,chemfluor,627.0,681.0
C(#Cc1cccc2nsnc12)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",538.0,538.0
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)cc1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",475.0,475.0
C(#Cc1ccccc1)C(C#Cc1ccccc1)=Cc1ccc(C=C(C#Cc2ccccc2)C#Cc2ccccc2)s1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",528.0,528.0
C(#Cc1ccccc1)c1ccccc1,CO,2,2,"FluoDB-Lite,deep4chem",307.0,307.0
C(#Cc1cccs1)C(C#Cc1cccs1)=Cc1ccc(C=C(C#Cc2cccs2)C#Cc2cccs2)cc1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",498.0,498.0
C(#Cc1cccs1)C(C#Cc1cccs1)=Cc1ccc(C=C(C#Cc2cccs2)C#Cc2cccs2)s1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",550.0,550.0
C(#Cc1cccs1)c1ncc(-c2ccccc2)o1,ClCCl,2,2,"FluoDB-Lite,deep4chem",,
C(#Cc1ccncc1)C(C#Cc1ccncc1)=Cc1ccc(C=C(C#Cc2ccncc2)C#Cc2ccncc2)cc1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",472.0,472.0
C(#Cc1ccncc1)C(C#Cc1ccncc1)=Cc1ccc(C=C(C#Cc2ccncc2)C#Cc2ccncc2)s1,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",587.0,587.0
C(#Cc1cnc(C#Cc2ccccc2)nc1)c1ccccc1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",425.0,425.0
C(#Cc1ncc(-c2ccccc2)o1)c1ccco1,ClCCl,2,2,"FluoDB-Lite,deep4chem",,
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)c(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)cc2-c2ccc(C=C(c3ccccc3)c3ccccc3)cc2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",440.0,440.0
C(=C(c1ccccc1)c1ccccc1)c1ccc(-c2cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)cc(-c3ccc(C=C(c4ccccc4)c4ccccc4)cc3)c2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",446.0,446.0
C(=C/c1ccc2ccc3cccc4ccc1c2c34)/c1ccc(/C=C/c2c3ccccc3cc3ccccc23)cc1,,3,3,chemfluor,455.0,494.0
C(=C1c2ccccc2-c2ccccc21)c1ccc(-c2ccc(C=C3c4ccccc4-c4ccccc43)cc2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",397.0,397.0
C(=C1c2ccccc2-c2ccccc21)c1ccc(C=C2c3ccccc3-c3ccccc32)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",407.0,407.0
C(=C1c2ccccc2CCc2ccccc21)c1ccc(-c2cc(-c3ccc(C=C4c5ccccc5CCc5ccccc54)cc3)cc(-c3ccc(C=C4c5ccccc5CCc5ccccc54)cc3)c2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",403.0,403.0
C(=C1c2ccccc2CCc2ccccc21)c1ccc(-c2ccc(C=C3c4ccccc4CCc4ccccc43)cc2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",394.0,394.0
C(=C\c1c2ccccc2cc2ccccc12)/c1ccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)cc1,,3,3,chemfluor,461.0,542.0
C(=C\c1c2ccccc2cc2ccccc12)/c1cccc(/C=C/c2ccc3ccc4cccc5ccc2c3c45)c1,,3,3,chemfluor,470.0,481.0
C(=C\c1c2ccccc2cc2ccccc12)/c1ccccc1/C=C/c1ccc2ccc3cccc4ccc1c2c34,,3,3,chemfluor,488.0,536.0
C(=C\c1ccc2ccccc2n1)/c1ccc(N(c2ccccc2)c2ccccc2)cc1,,8,8,chemfluor,448.0,544.0
C(=C\c1ccnc2ccccc12)/c1ccc(N(c2ccccc2)c2ccccc2)cc1,,8,8,chemfluor,451.0,569.0
C(=C\c1nccc2ccccc12)/c1ccc(N(c2ccccc2)c2ccccc2)cc1,,8,8,chemfluor,460.0,549.0
C(=Cc1c2ccccc2cc2ccccc12)c1ccccc1,CC1CCCCC1,2,2,"FluoDB-Lite,deep4chem",468.0,468.0
C(=Cc1ccc(-c2ccc(C=CSC=C(c3ccccc3)c3ccccc3)cc2)cc1)SC=C(c1ccccc1)c1ccccc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",441.0,441.0
C(=Cc1ccc(C=CSC=C(c2ccccc2)c2ccccc2)cc1)SC=C(c1ccccc1)c1ccccc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",435.0,435.0
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,2,2,deep4chem,622.0,691.0
C(=Cc1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)c2nsnc12)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,2,2,"FluoDB-Lite,deep4chem",690.0,690.0
C(=Cc1ccc(N(c2ccc(C=Cc3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)c2ccc(C=Cc3ccc(C=Cc4ccc(N(c5ccc(C=Cc6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)c5ccc(C=Cc6ccc(N(c7ccccc7)c7ccccc7)cc6)cc5)cc4)c4nsnc34)cc2)cc1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,CN(C)C=O,2,2,"FluoDB-Lite,deep4chem",752.0,752.0
C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(-c2cc(-c3ccccn3)nc(-c3ccccn3)c2)cc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",502.0,502.0
C(=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccc(C=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,Cc1ccccc1,2,2,deep4chem,455.0,457.0
C1=C(c2ccc(-c3cccs3)s2)CCC(c2ccccc2)C1,CC#N,2,2,"FluoDB-Lite,deep4chem",411.0,411.0
C1=C(c2ccc(-c3cccs3)s2)CCC(c2ccccc2)C1,CCCCCC,2,2,"FluoDB-Lite,deep4chem",409.0,409.0
C1=C(c2ccc(-c3cccs3)s2)CCC(c2ccccc2)C1,CCO,2,2,"FluoDB-Lite,deep4chem",411.0,411.0
C1=C(c2ccc(-c3cccs3)s2)CCC(c2ccccc2)C1,c1ccncc1,2,2,"FluoDB-Lite,deep4chem",417.0,417.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,CC#N,2,2,"FluoDB-Lite,deep4chem",412.0,412.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,CCCCCC,2,2,"FluoDB-Lite,deep4chem",410.0,410.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,CCO,2,2,"FluoDB-Lite,deep4chem",408.0,408.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,OCCOCCO,2,2,"FluoDB-Lite,deep4chem",416.0,416.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,c1ccncc1,2,2,"FluoDB-Lite,deep4chem",418.0,418.0
C1=C(c2ccc(-c3cccs3)s2)CCCC1,CC#N,2,2,"FluoDB-Lite,deep4chem",415.0,415.0
C1=C(c2ccc(-c3cccs3)s2)CCCC1,CCCCCC,2,2,"FluoDB-Lite,deep4chem",411.0,411.0
C1=C(c2ccc(-c3cccs3)s2)CCCC1,CCO,2,2,"FluoDB-Lite,deep4chem",445.0,445.0
C1=C(c2ccc(-c3cccs3)s2)CCCC1,OCCOCCO,2,2,"FluoDB-Lite,deep4chem",446.0,446.0
C1=C(c2ccc(-c3cccs3)s2)CCCC1,c1ccncc1,2,2,"FluoDB-Lite,deep4chem",423.0,423.0
C1=C(c2ccccc2)C(c2ccccc2)=CC1c1ccccc1,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",345.0,345.0
C1=C2B(Nc3ccc(N(c4ccccc4)c4ccccc4)cc31)c1cc(N(c3ccccc3)c3ccccc3)ccc1C(c1ccccc1)=C2c1ccccc1,,3,3,chemfluor,488.0,537.0
C1=C2c3cc4ccccc4cc3C3=[N+]2[B-]2(Oc4ccccc43)Oc3ccccc3-c3c4cc5ccccc5cc4c1n32,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",832.0,832.0
C1=CN2B(C=Cc3ccccc32)C(N2CCOCC2)=C1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",351.0,351.0
C1=CN2B(C=Cc3ccccc32)C(c2ccccc2)=C1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",379.0,379.0
C1=Cc2ccc3ccccc3c2NB1c1ccccc1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",383.0,383.0
C1=Cc2ccccc2C(=Cc2ccc(-c3cc(-c4ccc(C=C5c6ccccc6C=Cc6ccccc65)cc4)c(-c4ccc(C=C5c6ccccc6C=Cc6ccccc65)cc4)cc3-c3ccc(C=C4c5ccccc5C=Cc5ccccc54)cc3)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",405.0,405.0
C1=Cc2ccccc2C(=Cc2ccc(-c3cc(-c4ccc(C=C5c6ccccc6C=Cc6ccccc65)cc4)cc(-c4ccc(C=C5c6ccccc6C=Cc6ccccc65)cc4)c3)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",405.0,405.0
C1=Cc2ccccc2C(=Cc2ccc(-c3ccc(C=C4c5ccccc5-c5ccccc54)cc3)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",450.0,450.0
C1=Cc2ccccc2C(=Cc2ccc(-c3ccc(C=C4c5ccccc5C=Cc5ccccc54)cc3)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",405.0,405.0
C1=Cc2ccccc2C(=Cc2ccc(C=C3c4ccccc4-c4ccccc43)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",444.0,444.0
C1=Cc2ccccc2C(=Cc2ccc(C=C3c4ccccc4C=Cc4ccccc43)cc2)c2ccccc21,C1CCOC1,2,2,"FluoDB-Lite,deep4chem",405.0,405.0
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1cc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)N=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",744.0,744.0
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,CC(=O)N(C)C,2,2,"FluoDB-Lite,deep4chem",650.0,650.0
C1=Cc2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",651.0,651.0
C1=Cc2nc1c(-c1ccco1)c1ccc([nH]1)c(-c1ccco1)c1nc(c(-c3ccco3)c3ccc([nH]3)c2-c2ccco2)C=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",697.0,697.0
C1=Cc2nc1c(-c1ccco1)c1ccc([nH]1)c(-c1ccco1)c1nc(c(-c3ccco3)c3ccc(s3)c2-c2ccco2)C=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",729.0,729.0
C1=Cc2nc1c(-c1ccco1)c1ccc(s1)c(-c1ccco1)c1nc(c(-c3ccco3)c3ccc(s3)c2-c2ccco2)C=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",773.0,773.0
C1=Cc2nc1c(-c1cccs1)c1ccc([nH]1)c(-c1cccs1)c1nc(c(-c3cccs3)c3ccc([nH]3)c2-c2cccs2)C=C1,ClCCl,2,2,"FluoDB-Lite,deep4chem",670.0,670.0
C1=Nc2cccc3cccc(c23)N1,CC#N,2,2,"FluoDB-Lite,deep4chem",476.0,476.0
C1=Nc2cccc3cccc(c23)N1,CO,2,2,"FluoDB-Lite,deep4chem",485.0,485.0
C1=Nc2cccc3cccc(c23)N1,CS(C)=O,2,2,"FluoDB-Lite,deep4chem",482.0,482.0
C=C(C)C(CN1C(=O)c2cccc3c2c(cc2nc(C)oc23)C1=O)OO,CCO,2,2,"FluoDB-Lite,deep4chem",412.0,412.0
C=C(C)C(CN1C(=O)c2cccc3c2c(cc2oc(C)nc23)C1=O)OO,CCO,2,2,"FluoDB-Lite,deep4chem",416.0,416.0
C=C(C)C(CN1C(=O)c2cccc3cccc(c23)C1=O)OO,CCO,2,2,"FluoDB-Lite,deep4chem",372.0,372.0
C=CCN(CC=C)c1ccc(-c2cc(-c3ccc(N(CC=C)CC=C)cc3)cc(-c3ccc(N(CC=C)CC=C)cc3)c2)cc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",397.6,398.0
C=CCNC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,,2,2,chemfluor,438.0,459.5
C=CCOc1nnc(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)nn1,ClCCl,2,2,"FluoDB-Lite,deep4chem",572.0,572.0
C=C[Si](c1c2ccccc2cc2ccccc12)(c1c2ccccc2cc2ccccc12)c1c2ccccc2cc2ccccc12,ClC(Cl)Cl,2,2,"FluoDB-Lite,deep4chem",437.0,437.0
C=Cc1ccc2c(c1)C(C)(C)c1cc(N(C)C)ccc1-2,,7,7,chemfluor,388.0,473.0
CB1C=Cc2ccc3ccccc3c2N1c1ccccc1,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",387.0,387.0
CC(=O)C1=C(O)CC2Oc3c(C(C)=O)c(O)c(C)c(O)c3C2(C)C1=O,ClC(Cl)Cl,2,2,"FluoDB-Lite,deep4chem",,
CC(=O)N(C)c1ncnc2cc(-c3ccc(N(C)C)cc3)n3nc(-c4ccc(N(C)C)cc4)cc3c12,,2,2,chemfluor,528.0,582.0
CC(=O)N(C)c1ncnc2cc(-c3ccc(N(C)C)cc3)n3nc(-c4ccccc4)cc3c12,,3,3,chemfluor,474.0,542.0
CC(=O)N(C)c1ncnc2cc(-c3ccccc3)n3nc(-c4ccc(N(C)C)cc4)cc3c12,,2,2,chemfluor,560.0,604.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,C1CCOC1,3,2,"FluoDB-Lite,deep4chem",497.0,497.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,3,2,"FluoDB-Lite,deep4chem",486.0,486.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,3,2,"FluoDB-Lite,deep4chem",509.0,509.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,3,2,"FluoDB-Lite,deep4chem",491.0,491.0
CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,3,2,"FluoDB-Lite,deep4chem",497.0,497.0
CC(=O)OCCN1C(=O)c2cccc3c(Oc4ccccc4C)ccc(c23)C1=O,ClC(Cl)Cl,2,2,"FluoDB-Lite,deep4chem",419.0,419.0
CC(=O)c1c2c(cc3c(N(C)C)cccc13)CCC2,,9,9,chemfluor,480.0,634.0
CC(=O)c1c2c(cc3cc(N(C)C)ccc13)CCC2,,9,9,chemfluor,445.0,605.0
CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2,,9,9,chemfluor,466.0,578.0
CC(=O)c1c2ccccc2n2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c12,,2,2,chemfluor,587.0,588.0
CC(=O)c1c2ccccc2n2c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c(-c3ccccc3)c12,,2,2,chemfluor,585.0,585.0
CC(=O)c1ccc(-c2c3cc(N(C)C)ccc3nn2C)o1,,2,2,chemfluor,555.0,576.0
CC(=O)c1ccc(-c2c3cc([N+](=O)[O-])ccc3nn2C)s1,,2,2,chemfluor,525.0,542.0
CC(=O)c1ccc(-c2c3ccccc3nn2C)o1,,2,2,chemfluor,426.0,428.0
CC(=O)c1ccc(-c2cccc3ncc(-c4ccccc4)n23)cc1,ClCCl,2,2,"FluoDB-Lite,deep4chem",506.0,506.0
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,CC(C)O,2,2,"FluoDB-Lite,deep4chem",580.0,580.2
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,CS(C)=O,2,2,"FluoDB-Lite,deep4chem",563.6,564.0
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Br)c3s2)cc1,c1ccccc1,2,2,"FluoDB-Lite,deep4chem",472.9,473.0
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,CS(C)=O,2,2,"FluoDB-Lite,deep4chem",569.0,569.2
CC(=O)c1ccc(-c2nc3ccc(N(C)C)c(Cl)c3s2)cc1,c1ccccc1,2,2,"FluoDB-Lite,deep4chem",474.9,475.0
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,CC(C)O,2,2,"FluoDB-Lite,deep4chem",611.0,611.3
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,CS(C)=O,2,2,"FluoDB-Lite,deep4chem",587.9,588.0
CC(=O)c1ccc(-c2nc3ccc(N(C)C)cc3s2)cc1,c1ccccc1,2,2,"FluoDB-Lite,deep4chem",487.9,488.0
CC(=O)c1ccc2c(c1)C(C)(C)c1cc(N(C)CC#Cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)nc3N)ccc1-2,,5,5,chemfluor,438.0,544.0
CC(=O)c1ccc2nn(C)c(-c3ccc(C(C)=O)o3)c2c1,,2,2,chemfluor,414.0,416.0
CC(=O)c1ccc2nn(C)c(-c3ccc(C)o3)c2c1,,2,2,chemfluor,449.0,457.0
CC(=O)c1ccc2nn(C)c(-c3ccc(C)s3)c2c1,,2,2,chemfluor,447.0,451.0
CC(=O)c1ccc2nn(C)c(-c3ccc(C=O)o3)c2c1,,2,2,chemfluor,423.0,426.0
CC(=O)c1ccc2nn(C)c(-c3ccc(C=O)s3)c2c1,,2,2,chemfluor,468.0,479.0
CC(=O)c1ccn2c3c(c(-c4ccc(N)cc4)c2c1)CN(CCCNC(=O)OC(C)(C)C)C3=O,,2,2,chemfluor,546.0,572.0
CC(C)(C)C#Cc1ccc2c3cccc4cccc(c5cccc1c52)c43,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",459.9,460.0
CC(C)(C)C1CCC(=CSC=Cc2ccc(-c3ccc(C=CSC=C4CCC(C(C)(C)C)CC4)cc3)cc2)CC1,ClCCl,2,2,"FluoDB-Lite,deep4chem",432.0,432.0
CC(C)(C)C1CCC(=CSC=Cc2ccc(C=CSC=C3CCC(C(C)(C)C)CC3)cc2)CC1,ClCCl,2,2,"FluoDB-Lite,deep4chem",422.0,422.0
CC(C)(C)C1Nc2c(Br)cc(Br)cc2C(=O)N1Cc1ccccc1,CO,2,2,"FluoDB-Lite,deep4chem",447.0,447.0
CC(C)(C)N1C(=O)c2c(cc3ccc4cccc5ccc2c3c45)C1O,ClC(Cl)Cl,3,3,"FluoDB-Lite,deep4chem",386.0,386.0
CC(C)(C)NC(=O)C(OC(=O)c1ccc(C2=C3C=CC(c4ccc([N+](=O)[O-])cc4)=[N+]3[B-](F)(F)n3cccc32)cc1)c1ccc(C(F)(F)F)cc1,,2,2,chemfluor,564.0,569.0
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)c1ccc(C2=C3C=CC(c4ccc([N+](=O)[O-])cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,,2,2,chemfluor,561.0,565.0
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)c1ccc(C2=C3C=CC(c4ccc([N+](=O)[O-])cc4)=[N+]3[B-](F)(F)n3cccc32)cc1F,,2,2,chemfluor,562.0,568.0
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)c1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,,2,2,chemfluor,518.0,519.0
CC(C)(C)NC(=O)C(OC(=O)c1ccccc1)c1cccc(C2=C3C=CC(c4ccc([N+](=O)[O-])cc4)=[N+]3[B-](F)(F)n3cccc32)c1,,2,2,chemfluor,559.0,564.0
CC(C)(C)NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,C1CCCCC1,2,2,"FluoDB-Lite,deep4chem",503.0,503.0
CC(C)(C)NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CC(C)=O,2,2,"FluoDB-Lite,deep4chem",492.0,492.0
CC(C)(C)NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CCO,2,2,"FluoDB-Lite,deep4chem",494.0,494.0
CC(C)(C)NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,CO,2,2,"FluoDB-Lite,deep4chem",491.0,491.0
CC(C)(C)NC1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,OCC(F)(F)F,2,2,"FluoDB-Lite,deep4chem",497.5,498.0
CC(C)(C)Nc1c(-c2ccc(-c3cc(=O)cc(-c4ccccc4)o3)cc2)nc2ccccn12,ClCCl,2,2,"FluoDB-Lite,deep4chem",515.0,515.0
CC(C)(C)Nc1cc2oc3cc(NC(C)(C)C)c(F)cc3c(=O)c2cc1F,CCO,2,2,"FluoDB-Lite,deep4chem",418.0,418.0
